INBR,Name,Name kurz,DS100,Kategorie
8501026,Genève-Aéroport,Genève-Aéroport,XSGEA,6
8516272,Genève-Champel,Genève-Champel,D8516272,6
8516273,Genève-Eaux-Vives,Genève-Eaux-Vives,D8516273,6
8516283,Genève-Sécheron,Genève-Sécheron,PSATA,6
8011617,Gera Ost,Gera Ost,UGOT,6
8011620,Gera-Liebschwitz,Gera-Liebschwitz,UGLW,6
8508088,Gerlafingen,Gerlafingen,XSGF,6
8100879,Gerling im Pinzgau,Gerling im Pinzgau,XAGE,6
8010127,Gernrode(Harz),Gernrode(Harz),LGDE,6
8002248,Gernsbach Bf,Gernsbach Bf,RGS,6
8002250,Gernsbach Mitte,Gernsbach Mitte,RGSD,6
8505410,Gerra (Gambarogno),Gerra (Gambarogno),OSG,6
215908,Gerresheim S-Bahnhof - Düsseldorf,Gerresheim S-Bahnhof - Düsseldorf,D215908,6
8007075,Gerstetten,Gerstetten,TGSN,6
8071356,Gevelsberg West Bhf,Gevelsberg West Bhf,D8071356,6
8700346,Gevrey-Chambertin,Gevrey-Chambertin,XFGE,6
8100549,Gießenbach in Tirol,Gießenbach in Tirol,XAGB,6
8011633,Gildenhall,Gildenhall,WGIH,6
8400251,Gilze-Rijen,Gilze-Rijen,ONGR,6
7100077,Girona,Girona,XEG,6
8502201,Gisikon-Root,Gisikon-Root,XSGNR,6
8703408,Gisors Embranchement,Gisors Embranchement,XFGI,6
839548,Gisorsstr. - Riegelsberg,Gisorsstr. - Riegelsberg,PQRGI,6
8505214,Giubiasco,Giubiasco,XSGI,6
8602940,Gjesing st,Gjesing st,XDGJ,6
8501031,Gland,Gland,OSGLD,6
8400011,Glanerbrug,Glanerbrug,XNGB,6
8002287,Glanzstoffwerke,Glanzstoffwerke,NGLW,6
8503310,Glattbrugg,Glattbrugg,XSG,6
8503401,Glattfelden,Glattfelden,XSGA,6
8100195,Gleisdorf,Gleisdorf,OAGL,6
5100011,Gliwice,Gliwice,XPGL,6
8100026,Gloggnitz,Gloggnitz,XAGL,6
5100012,Glogow,Glogow,XPGLO,6
8800239,Glons,Glons,XBGO,6
8070199,Glossen(b Oschatz),Glossen(b Oschatz),DGLO,6
8500123,Glovelier,Glovelier,OSGLO,6
8007631,Gmund(Tegernsee),Gmund(Tegernsee),MGMD,6
8100129,Gmünd NÖ,Gmünd NÖ,XAGN,6
